text,true_label,predicted_label,response,correct
"if you believe that anything on the services infringes a copyright that you own or control , please fill out this form .",0,0,"No, this clause is",True
"if oculus makes changes to these terms , we will provide notice of such changes as appropriate , such as by sending an email notification to the address that you have provided , providing notice through the services and/or updating the `` last updated '' date at the top of these terms .",1,0,"No, this clause is",False
"`` user content '' means any communications , images , sounds , and all the material , data , and information that you upload or transmit through a supercell game client or the service , or that other users upload or transmit , including without limitation any chat text .",0,0,"No, this clause is",True
these terms and any action related thereto will be governed by the laws of the state of california without regard to its conflict of laws provisions .,1,1,"Yes, this clause is",True
you must not post any user content to the service if you are not the copyright owner of or are not fully authorized to grant rights in all of the elements of the user content you intend to post to the service .,0,0,"No, this clause is",True
this license will end once you delete such content or your account unless users who have seen the content saved it .,0,1,"Yes, this clause is",False
"as under armour grows and improves , we might have to make changes to these terms or include additional terms that are specific to certain products .",1,1,"Yes, this clause is",True
"18.7 this paragraph 18 , along with paragraphs , 4.2 , 12 , 20.3 and any other provisions , which are expressed or clearly intended to survive or operate in the event of termination , shall survive termination of the terms .",0,0,"No, this clause is",True
"we assume no liability or responsibility for any errors or omissions in the content of the products , or any failures , delays , or interruptions in the provision of the products .",1,1,"Yes, this clause is",True
skyscanner facilitates your bookings with travel providers but is not responsible and has no liability to you in respect of such bookings .,0,1,"Yes, this clause is",False
"if we believe , in our sole discretion , that any member of academia.edu or academia premium or other academia.edu paid services is in breach of our terms , or act outside of the letter or spirit of our terms , we reserve the right to add limitations to your access to www.academia.edu , up to and including terminating all access to www.academia.edu .",1,1,"Yes, this clause is",True
"you must also respect the rights of snap group limited and its affiliates , including snap inc. .",0,0,"No, this clause is",True
"in addition , we are not responsible for the accuracy , availability , or reliability of any information , content , goods , data , opinions , advice , or statements made available in connection with social networking services .",0,1,"Yes, this clause is",False
"further , you and spotify agree to the jurisdiction of the courts listed below to resolve any dispute , claim , or controversy that arises in connection with the agreements -lrb- and any non-contractual disputes/claims arising out of or in connection with them -rrb- .",1,1,"Yes, this clause is",True
"9gag , inc may change its prices at any time but will provide you reasonable notice of any such changes by posting the new prices on the site and by sending you email notification .",1,1,"Yes, this clause is",True
"in the event of such a breach , your right to use the products will cease immediately .",1,1,"Yes, this clause is",True
"we are not liable for any claim relating to any content , goods and/or services of third parties .",1,1,"Yes, this clause is",True
"subject as provided below , neither deliveroo nor any partner restaurant shall have have any liability to you for any direct , indirect , special or consequential losses or damages arising in contract , tort -lrb- including negligence -rrb- or otherwise arising from your use of or your inability to use our service .",1,1,"Yes, this clause is",True
"if you provide personal data including your name and job title to be included on the skype manager directory , you acknowledge that other members of that skype manager may view such data .",0,0,"No, this clause is",True
"to protect ebay from risk of liability for your actions as a seller , ebay has at times recommended , and may continue to recommend , that paypal restrict access to funds in a seller 's paypal account based on certain factors , including , but not limited to , selling history , seller performance , returns , riskiness of the listing category , transaction value , or the filing of an ebay money back guarantee case .",0,1,"Yes, this clause is",False
tinder may terminate your account at any time without notice if it believes that you have violated this agreement .,1,1,"Yes, this clause is",True
you are solely responsible for your involvement with any athletes or individuals you interact with in connection with the services .,0,0,"No, this clause is",True
"if you elect to use the features in our services to tell a friend about the services , we will ask you to provide your friend 's email address or social media profile , which we may then use to contact your friend about the services .",0,0,"No, this clause is",True
prices will vary between menus .,0,0,"No, this clause is",True
ownership ; no other licenses .,0,1,"Yes, this clause is",False
